sentence,entities,finishment,api_result
Suspected Islamist rebels have fired mortar shells at the palace used by Somalia 's interim President Abdullahi Yusuf Ahmad .,"[['Somalia', (440, 440), 'geo'], ['President Abdullahi Yusuf Ahmad', (443, 446), 'per']]",0,"[['Somalia', (440, 440), 'geo'], ['President Abdullahi Yusuf Ahmad', (443, 446), 'per']]"
It was not immediately clear if the president was in the palace in Mogadishu when the attack occurred or if anyone was hurt .,"[['Mogadishu', (461, 461), 'geo']]",0,"[['Mogadishu', (461, 461), 'geo']]"
Local news reports said at least five mortar shells hit the palace compound and other mortars were fired elsewhere in Mogadishu Wednesday .,"[['Mogadishu', (492, 492), 'geo'], ['Wednesday', (493, 493), 'tim']]",0,"[['Mogadishu', (492, 492), 'geo'], ['Wednesday', (493, 493), 'tim']]"
"The attacks occurred after the government said it will go ahead with a reconciliation conference to which more than 1,300 Somali elders , warlords and politicians are invited .","[['Somali', (515, 515), 'gpe']]",0,"[['Somali', (515, 515), 'gpe']]"
Iraqi military officials say tanks and troops have arrived in the northern city Mosul for a new offensive against al Qaida in Iraq fighters .,"[['Iraqi', (524, 524), 'gpe'], ['Mosul', (537, 537), 'geo'], ['al Qaida in Iraq', (543, 546), 'org']]",0,"[['Iraqi', (524, 524), 'gpe'], ['Mosul', (537, 537), 'geo'], ['al Qaida in Iraq', (543, 546), 'org']]"
"Officials will not say how many troops have arrived in the Sunni Arab and Kurdish city , where bombings last week killed at least 34 people and wounded more than 200 .","[['Sunni Arab', (560, 561), 'geo'], ['Kurdish', (563, 563), 'geo']]",0,"[['Sunni Arab', (560, 561), 'geo'], ['Kurdish', (563, 563), 'geo']]"
U.S. commanders have not explained how American forces will participate in the offensive .,"[['U.S.', (581, 581), 'gpe'], ['American', (587, 587), 'gpe']]",0,"[['U.S.', (581, 581), 'gpe'], ['American', (587, 587), 'gpe']]"
Officials say al Qaida in Iraq fighters have fled successful campaigns against them in Anbar province and Baghdad to other northern provinces .,"[['al Qaida in Iraq', (597, 600), 'org'], ['Anbar', (609, 609), 'geo'], ['Baghdad', (612, 612), 'geo']]",0,"[['al Qaida in Iraq', (597, 600), 'org'], ['Anbar', (609, 609), 'geo'], ['Baghdad', (612, 612), 'geo']]"
Mosul is the largest city north of Baghdad and has long been a stronghold of Sunni militant fighters .,"[['Mosul', (618, 618), 'geo'], ['Baghdad', (625, 625), 'geo'], ['Sunni', (633, 633), 'org']]",0,"[['Mosul', (618, 618), 'geo'], ['Baghdad', (625, 625), 'geo'], ['Sunni', (633, 633), 'org']]"
"In other violence , U.S. officials said one American soldier was killed while on patrol in Baghdad Sunday .","[['U.S.', (641, 641), 'gpe'], ['American', (645, 645), 'gpe'], ['Baghdad', (653, 653), 'geo'], ['Sunday', (654, 654), 'tim']]",0,"[['U.S.', (641, 641), 'gpe'], ['American', (645, 645), 'gpe'], ['Baghdad', (653, 653), 'geo'], ['Sunday', (654, 654), 'tim']]"
Egyptian police have arrested at least 16 members of the opposition Muslim Brotherhood as parts of the country prepare for parliamentary runoff elections Saturday .,"[['Egyptian', (656, 656), 'gpe'], ['Muslim Brotherhood', (667, 668), 'org'], ['Saturday', (679, 679), 'tim']]",0,"[['Egyptian', (656, 656), 'gpe'], ['Muslim Brotherhood', (667, 668), 'org'], ['Saturday', (679, 679), 'tim']]"
The arrests occurred Friday in Alexandria .,"[['Friday', (684, 684), 'tim'], ['Alexandria', (686, 686), 'geo']]",0,"[['Friday', (684, 684), 'tim'], ['Alexandria', (686, 686), 'geo']]"
A spokesman for the Brotherhood said the arrests are an attempt to cut the Brotherhood off from its supporters and punishment for winning parliamentary seats in earlier elections .,"[['Brotherhood', (692, 692), 'org'], ['Brotherhood', (702, 702), 'org']]",0,"[['Brotherhood', (692, 692), 'org'], ['Brotherhood', (702, 702), 'org']]"
"The Muslim Brotherhood has tripled its strength in parliament in recent elections , raising the party 's total to 47 seats .","[['Muslim Brotherhood', (718, 719), 'org']]",0,"[['Muslim Brotherhood', (718, 719), 'org']]"
"In Saturday 's elections , voters will cast ballots in nine provinces where no candidate won a majority in the previous round of voting .","[['Saturday', (740, 740), 'tim']]",0,"[['Saturday', (740, 740), 'tim']]"
"The Muslim Brotherhood is banned as a political party , but it endorses so-called independent candidates whose allegiance to the party is known to voters .","[['Muslim Brotherhood', (765, 766), 'org']]",0,"[['Muslim Brotherhood', (765, 766), 'org']]"
"Hardline lawmakers in Pakistan 's North West Frontier Province have pushed through a law that aims to ensure "" Islamic correctness "" in public places and establishes a morality police to enforce decent behavior .","[['Pakistan', (793, 793), 'geo'], ['North West Frontier Province', (795, 798), 'geo']]",0,"[['Pakistan', (793, 793), 'geo'], ['North West Frontier Province', (795, 798), 'geo']]"
"A six-party coalition of religious based parties , the Mutahida Majlis-e-Amal , dominates the provincial assembly , so the bill was easily passed Thursday by a vote of 68-34 .","[['Mutahida Majlis-e-Amal', (834, 835), 'org'], ['Thursday', (848, 848), 'tim']]",0,"[['Mutahida Majlis-e-Amal', (834, 835), 'org'], ['Thursday', (848, 848), 'tim']]"
"The provincial governor must still sign the bill before it becomes law , a step seen only as a formality .",[],0,[]
"The proposed law calls for setting up a "" religious police force "" to make sure people adhere to Islamic values in public places , and entertainment outlets close during weekly Friday prayers .","[['Friday', (907, 907), 'tim']]",0,"[['Friday', (907, 907), 'tim']]"
Violators could be jailed for up to six months .,[],0,[]
"The opposition has denounced the measure , comparing it to the draconian rule of the former Taleban in neighboring Afghanistan .","[['Taleban', (936, 936), 'org'], ['Afghanistan', (939, 939), 'geo']]",0,"[['Taleban', (936, 936), 'org'], ['Afghanistan', (939, 939), 'geo']]"
British police say they have arrested a man who dressed as suicide bomber at a demonstration against the publication of cartoons depicting Islam 's Prophet Muhammad .,"[['British', (941, 941), 'gpe'], ['Islam', (963, 963), 'org'], ['Prophet Muhammad', (965, 966), 'per']]",0,"[['British', (941, 941), 'gpe'], ['Islam', (963, 963), 'org'], ['Prophet Muhammad', (965, 966), 'per']]"
Bedfordshire police said Tuesday that Omar Khayam was arrested in Bedford for breaching the conditions of his parole .,"[['Bedfordshire', (968, 968), 'gpe'], ['Tuesday', (971, 971), 'tim'], ['Omar Khayam', (973, 974), 'per'], ['Bedford', (978, 978), 'geo']]",0,"[['Bedfordshire', (968, 968), 'gpe'], ['Tuesday', (971, 971), 'tim'], ['Omar Khayam', (973, 974), 'per'], ['Bedford', (978, 978), 'geo']]"
"Police said the British Home Office sought an investigation of Khayam 's behavior after he was photographed last week at a demonstration dressed in fatigues , a black cap , and a bulky belt .","[['British Home Office', (990, 992), 'org'], ['Khayam', (997, 997), 'per']]",0,"[['British Home Office', (990, 992), 'org'], ['Khayam', (997, 997), 'per']]"
"A Home Office spokesman told the Associated Press that if the behavior of a paroled offender gives cause for concern , he can be sent back to prison .","[['Home Office', (1023, 1024), 'org'], ['Associated Press', (1028, 1029), 'org']]",0,"[['Home Office', (1023, 1024), 'org'], ['Associated Press', (1028, 1029), 'org']]"
The AP also reports Khayam has been on parole from prison since last year after serving half his six-year sentence for drug dealing .,"[['AP', (1052, 1052), 'org'], ['Khayam', (1055, 1055), 'per']]",0,"[['AP', (1052, 1052), 'org'], ['Khayam', (1055, 1055), 'per']]"
"Pakistani officials say unidentified gunmen have killed three people , including a former government minister , in a semi-autonomous tribal region bordering Afghanistan .","[['Pakistani', (1075, 1075), 'gpe'], ['Afghanistan', (1097, 1097), 'geo']]",0,"[['Pakistani', (1075, 1075), 'gpe'], ['Afghanistan', (1097, 1097), 'geo']]"
The officials say prominent tribal leader Malik Faridullah Khan was traveling in South Waziristan Sunday when his vehicle was ambushed in the Kani Wam area .,"[['Malik Faridullah Khan', (1105, 1107), 'per'], ['South Waziristan', (1111, 1112), 'geo'], ['Sunday', (1113, 1113), 'tim'], ['Kani Wam', (1121, 1122), 'geo']]",0,"[['Malik Faridullah Khan', (1105, 1107), 'per'], ['South Waziristan', (1111, 1112), 'geo'], ['Sunday', (1113, 1113), 'tim'], ['Kani Wam', (1121, 1122), 'geo']]"
His driver and a tribal elder were also killed .,[],0,[]
No one has claimed responsibility for the killings .,[],0,[]
The ambush came a day after a commander of Pakistani troops said the army has almost completely eliminated militants in South Waziristan .,"[['Pakistani', (1153, 1153), 'gpe'], ['South Waziristan', (1164, 1165), 'geo']]",0,"[['Pakistani', (1153, 1153), 'gpe'], ['South Waziristan', (1164, 1165), 'geo']]"
The area became a refuge for many al-Qaida and Taleban fighters after the Taleban government was ousted in Afghanistan in 2001 .,"[['al-Qaida', (1174, 1174), 'org'], ['Taleban', (1176, 1176), 'org'], ['Taleban', (1180, 1180), 'org'], ['Afghanistan', (1185, 1185), 'geo'], ['2001', (1187, 1187), 'tim']]",0,"[['al-Qaida', (1174, 1174), 'org'], ['Taleban', (1176, 1176), 'org'], ['Taleban', (1180, 1180), 'org'], ['Afghanistan', (1185, 1185), 'geo'], ['2001', (1187, 1187), 'tim']]"
"A senior Pakistani military official says Pakistan wants to put what he calls the "" sordid chapter "" of proliferation by one of its top scientists behind it and build civilian nuclear ties with the United States .","[['Pakistani', (1191, 1191), 'gpe'], ['Pakistan', (1195, 1195), 'gpe'], ['United States', (1224, 1225), 'gpe']]",0,"[['Pakistani', (1191, 1191), 'gpe'], ['Pakistan', (1195, 1195), 'gpe'], ['United States', (1224, 1225), 'gpe']]"
"But he says Pakistan is not ready to make the nuclear scientist , Abdul Qadeer Khan , available for direct questioning over his sale of nuclear parts and secrets to states including Iran , Libya and North Korea .","[['Pakistan', (1230, 1230), 'gpe'], ['Abdul Qadeer Khan', (1240, 1242), 'per'], ['Iran', (1259, 1259), 'gpe'], ['Libya', (1261, 1261), 'gpe'], ['North Korea', (1263, 1264), 'gpe']]",0,"[['Pakistan', (1230, 1230), 'gpe'], ['Abdul Qadeer Khan', (1240, 1242), 'per'], ['Iran', (1259, 1259), 'gpe'], ['Libya', (1261, 1261), 'gpe'], ['North Korea', (1263, 1264), 'gpe']]"
He said there are reasons of national sensitivities for not making him available .,[],0,[]
The Pakistani official was giving a background briefing to a small group of reporters in Washington .,"[['Pakistani', (1281, 1281), 'gpe'], ['Washington', (1295, 1295), 'geo']]",0,"[['Pakistani', (1281, 1281), 'gpe'], ['Washington', (1295, 1295), 'geo']]"
Khan admitted in 2004 that he operated a worldwide clandestine network to sell nuclear technology in the black market .,"[['Khan', (1297, 1297), 'per'], ['2004', (1300, 1300), 'tim']]",0,"[['Khan', (1297, 1297), 'per'], ['2004', (1300, 1300), 'tim']]"
"He was placed under house arrest in Islamabad , but not jailed because he is considered the father of Pakistan 's nuclear bomb .","[['Islamabad', (1324, 1324), 'geo'], ['Pakistan', (1336, 1336), 'geo']]",0,"[['Islamabad', (1324, 1324), 'geo'], ['Pakistan', (1336, 1336), 'geo']]"
U.S. Army officials said Wednesday that they will not renew a controversial multi-billion dollar contract with the Halliburton company to provide logistical support to U.S. troops in Iraq and elsewhere .,"[['U.S.', (1341, 1341), 'gpe'], ['Army', (1342, 1342), 'org'], ['Wednesday', (1345, 1345), 'tim'], ['Halliburton', (1358, 1358), 'org'], ['U.S.', (1365, 1365), 'gpe'], ['Iraq', (1368, 1368), 'geo']]",0,"[['U.S.', (1341, 1341), 'gpe'], ['Army', (1342, 1342), 'org'], ['Wednesday', (1345, 1345), 'tim'], ['Halliburton', (1358, 1358), 'org'], ['U.S.', (1365, 1365), 'gpe'], ['Iraq', (1368, 1368), 'geo']]"
"Halliburton has been providing a long list of services , from meals to communication , for the military for several years .","[['Halliburton', (1372, 1372), 'org']]",0,"[['Halliburton', (1372, 1372), 'org']]"
Critics of Halliburton include auditors and congressional Democrats .,"[['Halliburton', (1396, 1396), 'org']]",0,"[['Halliburton', (1396, 1396), 'org']]"
They say the company has produced some shoddy work and charges too much money .,[],0,[]
The company strongly denies the allegations .,[],0,[]
"When the huge contract is put out for re-bidding , several companies will get a chance to compete for portions of the work .",[],0,[]
Representatives from the Asia Pacific Economic Cooperation Business Advisory Council are holding meetings this week to finalize their annual report for APEC leaders who will hold a summit on September 8 and 9 .,"[['Asia Pacific Economic Cooperation Business Advisory Council', (1452, 1458), 'org'], ['APEC', (1470, 1470), 'org'], ['September 8', (1478, 1479), 'tim'], ['9', (1481, 1481), 'tim']]",0,"[['Asia Pacific Economic Cooperation Business Advisory Council', (1452, 1458), 'org'], ['APEC', (1470, 1470), 'org'], ['September 8', (1478, 1479), 'tim'], ['9', (1481, 1481), 'tim']]"
VOA 's Nancy-Amelia Collins reports from Sydney .,"[['VOA', (1483, 1483), 'org'], ['Nancy-Amelia Collins', (1485, 1486), 'per'], ['Sydney', (1489, 1489), 'geo']]",0,"[['VOA', (1483, 1483), 'org'], ['Nancy-Amelia Collins', (1485, 1486), 'per'], ['Sydney', (1489, 1489), 'geo']]"
"Energy , security , climate change , the World Trade Organization 's stalled negotiations , and investment are all expected to be among the major topics in the annual report of the APEC Business Advisory Council , known as ABAC .","[['World Trade Organization', (1499, 1501), 'org'], ['APEC Business Advisory Council', (1523, 1526), 'org'], ['ABAC', (1530, 1530), 'org']]",0,"[['World Trade Organization', (1499, 1501), 'org'], ['APEC Business Advisory Council', (1523, 1526), 'org'], ['ABAC', (1530, 1530), 'org']]"
"Tim Harcourt , the chief economist of the Australian Trade Commission , says ABAC plays an important role by informing governments where there are problems .","[['Tim Harcourt', (1532, 1533), 'per'], ['Australian Trade Commission', (1540, 1542), 'org'], ['ABAC', (1545, 1545), 'org']]",0,"[['Tim Harcourt', (1532, 1533), 'per'], ['Australian Trade Commission', (1540, 1542), 'org'], ['ABAC', (1545, 1545), 'org']]"
""" The most important thing the business groups can do is to tell the governments where there are logjams , where there are obstacles , where things can improve , "" Harcourt said .","[['Harcourt', (1589, 1589), 'per']]",0,"[['Harcourt', (1589, 1589), 'per']]"
""" I think actually ABAC has played a pretty good leadership on that in talking about trade facilitation and basically making sure standards are consistent and harmonious across the region . ""","[['ABAC', (1596, 1596), 'org']]",0,"[['ABAC', (1596, 1596), 'org']]"
ABAC comprises up to three members of the private sector of each of the 21 economies that make up APEC .,"[['ABAC', (1624, 1624), 'org'], ['APEC', (1643, 1643), 'org']]",0,"[['ABAC', (1624, 1624), 'org'], ['APEC', (1643, 1643), 'org']]"
It meets three times a year .,[],0,[]
It was made a permanent body in 1995 to provide an independent business perspective within APEC .,"[['1995', (1659, 1659), 'tim'], ['APEC', (1667, 1667), 'org']]",0,"[['1995', (1659, 1659), 'tim'], ['APEC', (1667, 1667), 'org']]"
"Members represent a range of business sectors , including medium and small businesses .",[],0,[]
"ABAC says there is a need for businesses to improve energy efficiency and to encourage conservation practices , and is expected to include this in its annual report .","[['ABAC', (1683, 1683), 'org']]",0,"[['ABAC', (1683, 1683), 'org']]"
"Harcourt , of the Australian Trade Commission , says the ABAC report will also discuss ways to enhance regional cooperation .","[['Harcourt', (1712, 1712), 'per'], ['Australian Trade Commission', (1716, 1718), 'org'], ['ABAC', (1722, 1722), 'org']]",0,"[['Harcourt', (1712, 1712), 'per'], ['Australian Trade Commission', (1716, 1718), 'org'], ['ABAC', (1722, 1722), 'org']]"
""" I reckon they 'll talk a little bit about customs and quarantine , a little bit about having consistent security arrangements around the region , "" Harcourt said .","[['Harcourt', (1760, 1760), 'per']]",0,"[['Harcourt', (1760, 1760), 'per']]"
""" And I think they 'll want a one-stop shop in terms of combining security , immigration , customs , and quarantine together Â just to make sure it 's more streamlined and provides more certainty . """,[],0,[]
ABAC is the only non-governmental body that has an official role and formal dialogue with the leaders of the APEC economies .,"[['ABAC', (1801, 1801), 'org'], ['APEC', (1820, 1820), 'org']]",0,"[['ABAC', (1801, 1801), 'org'], ['APEC', (1820, 1820), 'org']]"
It will present its annual report at the APEC leaders meeting on Saturday .,"[['APEC', (1831, 1831), 'org'], ['Saturday', (1835, 1835), 'tim']]",0,"[['APEC', (1831, 1831), 'org'], ['Saturday', (1835, 1835), 'tim']]"
"Sudan 's government says it will order troops to end attacks immediately in Darfur , and is asking rebels to do the same .","[['Sudan', (1837, 1837), 'gpe'], ['Darfur', (1850, 1850), 'geo']]",0,"[['Sudan', (1837, 1837), 'gpe'], ['Darfur', (1850, 1850), 'geo']]"
"Foreign Minister Mustafa Osman Ismail says Sudanese troops will also withdraw to positions held before an April cease-fire , if rebels in the western region agree to stop attacks .","[['Foreign Minister Mustafa Osman Ismail', (1861, 1865), 'per'], ['Sudanese', (1867, 1867), 'gpe'], ['April', (1877, 1877), 'tim']]",0,"[['Foreign Minister Mustafa Osman Ismail', (1861, 1865), 'per'], ['Sudanese', (1867, 1867), 'gpe'], ['April', (1877, 1877), 'tim']]"
Mr. Ismail announced the decision after meeting with officials from the United Nations and African Union in Khartoum Sunday .,"[['Mr. Ismail', (1891, 1892), 'per'], ['United Nations', (1902, 1903), 'org'], ['African Union', (1905, 1906), 'org'], ['Khartoum', (1908, 1908), 'geo'], ['Sunday', (1909, 1909), 'tim']]",0,"[['Mr. Ismail', (1891, 1892), 'per'], ['United Nations', (1902, 1903), 'org'], ['African Union', (1905, 1906), 'org'], ['Khartoum', (1908, 1908), 'geo'], ['Sunday', (1909, 1909), 'tim']]"
"In recent weeks , AU officials say Sudanese troops and rebels have repeatedly violated the April truce .","[['AU', (1915, 1915), 'org'], ['Sudanese', (1918, 1918), 'gpe'], ['April', (1926, 1926), 'tim']]",0,"[['AU', (1915, 1915), 'org'], ['Sudanese', (1918, 1918), 'gpe'], ['April', (1926, 1926), 'tim']]"
"Saturday , the head of AU forces in Darfur accused Sudanese government helicopters of bombing rebel sites in the South Darfur village of Labado .","[['Saturday', (1929, 1929), 'tim'], ['AU', (1934, 1934), 'org'], ['Darfur', (1937, 1937), 'geo'], ['Sudanese', (1939, 1939), 'gpe'], ['South Darfur', (1948, 1949), 'geo'], ['Labado', (1952, 1952), 'geo']]",0,"[['Saturday', (1929, 1929), 'tim'], ['AU', (1934, 1934), 'org'], ['Darfur', (1937, 1937), 'geo'], ['Sudanese', (1939, 1939), 'gpe'], ['South Darfur', (1948, 1949), 'geo'], ['Labado', (1952, 1952), 'geo']]"
Khartoum says troops were defending their positions from rebel attacks .,"[['Khartoum', (1954, 1954), 'gpe']]",0,"[['Khartoum', (1954, 1954), 'gpe']]"
Aid workers say some relief efforts have been suspended in South Darfur due to recent attacks .,"[['South Darfur', (1975, 1976), 'geo']]",0,"[['South Darfur', (1975, 1976), 'geo']]"
Indonesian police have arrested three men in connection with the October 1 Bali bombings that left 23 people dead .,"[['Indonesian', (1982, 1982), 'gpe'], ['October 1', (1992, 1993), 'tim'], ['Bali', (1994, 1994), 'geo']]",0,"[['Indonesian', (1982, 1982), 'gpe'], ['October 1', (1992, 1993), 'tim'], ['Bali', (1994, 1994), 'geo']]"
Indonesian police said Wednesday the men were flown to Bali from neighboring Java island for questioning at Bali police headquarters .,"[['Indonesian', (2002, 2002), 'gpe'], ['Wednesday', (2005, 2005), 'tim'], ['Bali', (2011, 2011), 'geo'], ['Java', (2014, 2014), 'geo'], ['Bali', (2019, 2019), 'geo']]",0,"[['Indonesian', (2002, 2002), 'gpe'], ['Wednesday', (2005, 2005), 'tim'], ['Bali', (2011, 2011), 'geo'], ['Java', (2014, 2014), 'geo'], ['Bali', (2019, 2019), 'geo']]"
Australian and French news agencies say at least one of the men arrested ( Cholily ) was captured during a series of counter-terrorism raids last week in Indonesia .,"[['Australian', (2023, 2023), 'gpe'], ['French', (2025, 2025), 'gpe'], ['Cholily', (2037, 2037), 'per'], ['Indonesia', (2050, 2050), 'geo']]",0,"[['Australian', (2023, 2023), 'gpe'], ['French', (2025, 2025), 'gpe'], ['Cholily', (2037, 2037), 'per'], ['Indonesia', (2050, 2050), 'geo']]"
The raids ended with the death of alleged extremist bombmaker Azahari bin Husin .,"[['Azahari bin Husin', (2062, 2064), 'per']]",0,"[['Azahari bin Husin', (2062, 2064), 'per']]"
Indonesian authorities blame Azahari bin Husin for orchestrating last month 's attacks in Bali as well as the 2002 Bali bombings that killed more than 200 people .,"[['Indonesian', (2066, 2066), 'gpe'], ['Azahari bin Husin', (2069, 2071), 'per'], ['Bali', (2079, 2079), 'geo'], ['2002', (2084, 2084), 'tim'], ['Bali', (2085, 2085), 'geo']]",0,"[['Indonesian', (2066, 2066), 'gpe'], ['Azahari bin Husin', (2069, 2071), 'per'], ['Bali', (2079, 2079), 'geo'], ['2002', (2084, 2084), 'tim'], ['Bali', (2085, 2085), 'geo']]"
"Gunmen have shot and killed a Roman Catholic nun and her bodyguard at the hospital where she worked in Islamist-controlled Mogadishu , Somalia .","[['Roman Catholic', (2100, 2101), 'org'], ['Mogadishu', (2114, 2114), 'geo'], ['Somalia', (2116, 2116), 'geo']]",0,"[['Roman Catholic', (2100, 2101), 'org'], ['Mogadishu', (2114, 2114), 'geo'], ['Somalia', (2116, 2116), 'geo']]"
Some witnesses to the Sunday shooting said they feared the attack was linked to Muslim anger toward Pope Benedict .,"[['Sunday', (2122, 2122), 'tim'], ['Pope Benedict', (2135, 2136), 'per']]",0,"[['Sunday', (2122, 2122), 'tim'], ['Pope Benedict', (2135, 2136), 'per']]"
"Two men with pistols attacked the nun , Sister Leonella Sgorbati , after she finished teaching a medical school class at the hospital in southern Mogadishu .","[['Sister Leonella Sgorbati', (2146, 2148), 'per'], ['Mogadishu', (2163, 2163), 'geo']]",0,"[['Sister Leonella Sgorbati', (2146, 2148), 'per'], ['Mogadishu', (2163, 2163), 'geo']]"
Officials say one suspect was arrested .,[],0,[]
"In Rome , a Vatican spokesman deplored the attack and said he hoped it was an isolated event , and not irrationality arising from comments made by the Pope which angered some Muslims .","[['Rome', (2173, 2173), 'geo'], ['Vatican', (2176, 2176), 'org']]",0,"[['Rome', (2173, 2173), 'geo'], ['Vatican', (2176, 2176), 'org']]"
