Sentence,Original_Entity,Predicted_Entity
The death toll from a coal mining accident in northwestern China rose to 32 Wednesday after searchers recovered the body of the last missing miner .,"['China', [9067, 9067], 'LOC']",{}
The death toll from a coal mining accident in northwestern China rose to 32 Wednesday after searchers recovered the body of the last missing miner .,"['Wednesday', [9071, 9071], 'DATE']",{}
Western analysts say Topol missiles were first deployed in Russian silos in the late 1990s .,"['Topol', [15009, 15009], 'WORK_OF_ART']",{}
Western analysts say Topol missiles were first deployed in Russian silos in the late 1990s .,"['Russian', [15015, 15015], 'GPE']",{}
Western analysts say Topol missiles were first deployed in Russian silos in the late 1990s .,"['1990s', [15020, 15020], 'DATE']",{}
"Coalition troops in Iraq have captured a suspected al-Qaida terrorist during a raid on the home of a senior Sunni Arab politician , Adnan al-Dulaymi .","['Iraq', [11261, 11261], 'LOC']",{}
"Coalition troops in Iraq have captured a suspected al-Qaida terrorist during a raid on the home of a senior Sunni Arab politician , Adnan al-Dulaymi .","['al-Qaida', [11266, 11266], 'ORG']",{}
"Coalition troops in Iraq have captured a suspected al-Qaida terrorist during a raid on the home of a senior Sunni Arab politician , Adnan al-Dulaymi .","['Sunni Arab', [11277, 11278], 'LOC']",{}
"Coalition troops in Iraq have captured a suspected al-Qaida terrorist during a raid on the home of a senior Sunni Arab politician , Adnan al-Dulaymi .","['Adnan al-Dulaymi', [11281, 11282], 'PERSON']",{}
Officials said Sunday that the group named KindHearts has coordinated with Hamas leaders and has ties to two other U.S.-based charities accused of links to terrorism .,"['Sunday', [19059, 19059], 'DATE']",{}
Officials said Sunday that the group named KindHearts has coordinated with Hamas leaders and has ties to two other U.S.-based charities accused of links to terrorism .,"['KindHearts', [19064, 19064], 'ORG']",{}
Officials said Sunday that the group named KindHearts has coordinated with Hamas leaders and has ties to two other U.S.-based charities accused of links to terrorism .,"['Hamas', [19068, 19068], 'ORG']",{}
"But Qureia said Wednesday that reaching a peace agreement with Israel before Mr. Bush leaves office will take a "" miracle . ""","['Qureia', [3048, 3048], 'PERSON']",{}
"But Qureia said Wednesday that reaching a peace agreement with Israel before Mr. Bush leaves office will take a "" miracle . ""","['Wednesday', [3050, 3050], 'DATE']",{}
"But Qureia said Wednesday that reaching a peace agreement with Israel before Mr. Bush leaves office will take a "" miracle . ""","['Israel', [3057, 3057], 'LOC']",{}
"But Qureia said Wednesday that reaching a peace agreement with Israel before Mr. Bush leaves office will take a "" miracle . ""","['Mr. Bush', [3059, 3060], 'PERSON']",{}
Witnesses say at least 15 others swam to safety after their vessel sank close to the Yemeni coast .,"['Yemeni', [18106, 18106], 'GPE']",{}
Five bomb attacks were carried out in Baghdad .,"['Baghdad', [14154, 14154], 'LOC']",{}
"The French news agency quotes a rebel spokesman as saying many civilians have been injured by the bombs , and much livestock has been killed .","['French', [21524, 21524], 'GPE']",{}
Popular American tennis star Andre Agassi has been knocked out of the quarterfinals at the Delray Beach International in Florida .,"['American', [20795, 20795], 'GPE']",{}
Popular American tennis star Andre Agassi has been knocked out of the quarterfinals at the Delray Beach International in Florida .,"['Andre Agassi', [20798, 20799], 'PERSON']",{}
Popular American tennis star Andre Agassi has been knocked out of the quarterfinals at the Delray Beach International in Florida .,"['Delray Beach International', [20809, 20811], 'EVENT']",{}
Popular American tennis star Andre Agassi has been knocked out of the quarterfinals at the Delray Beach International in Florida .,"['Florida', [20813, 20813], 'LOC']",{}
"The two officers among the 15 service members detained in Iran for 13 days have said they have chosen not to profit from stories of their captivity , but others in the group have reportedly made lucrative deals with British media .","['Iran', [19923, 19923], 'LOC']",{}
"The two officers among the 15 service members detained in Iran for 13 days have said they have chosen not to profit from stories of their captivity , but others in the group have reportedly made lucrative deals with British media .","['13', [19925, 19925], 'DATE']",{}
"The two officers among the 15 service members detained in Iran for 13 days have said they have chosen not to profit from stories of their captivity , but others in the group have reportedly made lucrative deals with British media .","['British', [19952, 19952], 'GPE']",{}
Venezuelan President Hugo Chavez has denounced Colombia 's defense minister as an obstacle to peace and a pawn of the United States .,"['Venezuelan', [6155, 6155], 'GPE']",{}
Venezuelan President Hugo Chavez has denounced Colombia 's defense minister as an obstacle to peace and a pawn of the United States .,"['President Hugo Chavez', [6156, 6158], 'PERSON']",{}
Venezuelan President Hugo Chavez has denounced Colombia 's defense minister as an obstacle to peace and a pawn of the United States .,"['Colombia', [6161, 6161], 'GPE']",{}
Venezuelan President Hugo Chavez has denounced Colombia 's defense minister as an obstacle to peace and a pawn of the United States .,"['United States', [6175, 6176], 'GPE']",{}
U.S. officials have said repeatedly that Iraqis must form their own government without American intervention .,"['U.S.', [19562, 19562], 'LOC']",{}
U.S. officials have said repeatedly that Iraqis must form their own government without American intervention .,"['Iraqis', [19568, 19568], 'GPE']",{}
U.S. officials have said repeatedly that Iraqis must form their own government without American intervention .,"['American', [19575, 19575], 'GPE']",{}
"Uganda 's military had detained Dr. Besigye since November , when he returned from self-imposed exile to run against President Yoweri Museveni in next month 's presidential election .","['Uganda', [7004, 7004], 'GPE']",{}
"Uganda 's military had detained Dr. Besigye since November , when he returned from self-imposed exile to run against President Yoweri Museveni in next month 's presidential election .","['Dr. Besigye', [7009, 7010], 'PERSON']",{}
"Uganda 's military had detained Dr. Besigye since November , when he returned from self-imposed exile to run against President Yoweri Museveni in next month 's presidential election .","['November', [7012, 7012], 'DATE']",{}
"Uganda 's military had detained Dr. Besigye since November , when he returned from self-imposed exile to run against President Yoweri Museveni in next month 's presidential election .","['President Yoweri Museveni', [7023, 7025], 'PERSON']",{}
The house belongs to a Muslim cleric who has been accused of recruiting fighters for a banned militant group .,"['Muslim', [12081, 12081], 'ORG']",{}
The plaintiff argued Vioxx was responsible .,"['Vioxx', [3896, 3896], 'ORG']",{}
"Thai Prime Minister Thaksin Shinawatra has said he believes some of the insurgents have been trained in Malaysia , Indonesia and southern Thailand .","['Thai', [4651, 4651], 'GPE']",{}
"Thai Prime Minister Thaksin Shinawatra has said he believes some of the insurgents have been trained in Malaysia , Indonesia and southern Thailand .","['Prime Minister Thaksin Shinawatra', [4652, 4655], 'PERSON']",{}
"Thai Prime Minister Thaksin Shinawatra has said he believes some of the insurgents have been trained in Malaysia , Indonesia and southern Thailand .","['Malaysia', [4668, 4668], 'LOC']",{}
"Thai Prime Minister Thaksin Shinawatra has said he believes some of the insurgents have been trained in Malaysia , Indonesia and southern Thailand .","['Indonesia', [4670, 4670], 'LOC']",{}
"Thai Prime Minister Thaksin Shinawatra has said he believes some of the insurgents have been trained in Malaysia , Indonesia and southern Thailand .","['Thailand', [4673, 4673], 'LOC']",{}
"Dharmeratnam Sivaram was a board member of the pro-rebel TamilNet Web site and a columnist for Sri Lanka 's english newspaper , the Daily Mirror .","['Dharmeratnam Sivaram', [5224, 5225], 'PERSON']",{}
"Dharmeratnam Sivaram was a board member of the pro-rebel TamilNet Web site and a columnist for Sri Lanka 's english newspaper , the Daily Mirror .","['TamilNet', [5233, 5233], 'ORG']",{}
"Dharmeratnam Sivaram was a board member of the pro-rebel TamilNet Web site and a columnist for Sri Lanka 's english newspaper , the Daily Mirror .","['Web', [5234, 5234], 'WORK_OF_ART']",{}
"Dharmeratnam Sivaram was a board member of the pro-rebel TamilNet Web site and a columnist for Sri Lanka 's english newspaper , the Daily Mirror .","['Sri Lanka', [5240, 5241], 'GPE']",{}
"Dharmeratnam Sivaram was a board member of the pro-rebel TamilNet Web site and a columnist for Sri Lanka 's english newspaper , the Daily Mirror .","['english', [5243, 5243], 'WORK_OF_ART']",{}
"Dharmeratnam Sivaram was a board member of the pro-rebel TamilNet Web site and a columnist for Sri Lanka 's english newspaper , the Daily Mirror .","['Daily Mirror', [5247, 5248], 'WORK_OF_ART']",{}
"So far , nearly 100 militants have been reported killed in the region since Thursday .","['Thursday', [2334, 2334], 'DATE']",{}
"The top U.S. military commander in Afghanistan says Taleban insurgents could stage a high-profile attack over the next six to nine months , despite what he called their more limited "" terrorist capabilities . ""","['U.S.', [21755, 21755], 'ORG']",{}
"The top U.S. military commander in Afghanistan says Taleban insurgents could stage a high-profile attack over the next six to nine months , despite what he called their more limited "" terrorist capabilities . ""","['Afghanistan', [21759, 21759], 'LOC']",{}
"The top U.S. military commander in Afghanistan says Taleban insurgents could stage a high-profile attack over the next six to nine months , despite what he called their more limited "" terrorist capabilities . ""","['Taleban', [21761, 21761], 'ORG']",{}
"The top U.S. military commander in Afghanistan says Taleban insurgents could stage a high-profile attack over the next six to nine months , despite what he called their more limited "" terrorist capabilities . ""","['six to nine', [21771, 21773], 'DATE']",{}
The weather in the western U.S. state of California has helped firefighters gain greater control of a massive wildfire that is burning near the populous city of Santa Barbara .,"['U.S.', [19996, 19996], 'LOC']",{}
The weather in the western U.S. state of California has helped firefighters gain greater control of a massive wildfire that is burning near the populous city of Santa Barbara .,"['California', [19999, 19999], 'LOC']",{}
The weather in the western U.S. state of California has helped firefighters gain greater control of a massive wildfire that is burning near the populous city of Santa Barbara .,"['Santa Barbara', [20018, 20019], 'LOC']",{}
The sources say the suspects arrived in the Austrian capital late Sunday .,"['Austrian', [20971, 20971], 'GPE']",{}
The sources say the suspects arrived in the Austrian capital late Sunday .,"['Sunday', [20974, 20974], 'DATE']",{}
"A statement released by Palestinian President Mahmoud Abbas in Ramallah vowed to track down and punish those responsible , saying this was an attempt to sabotage the peace process .","['Palestinian', [7593, 7593], 'GPE']",{}
"A statement released by Palestinian President Mahmoud Abbas in Ramallah vowed to track down and punish those responsible , saying this was an attempt to sabotage the peace process .","['President Mahmoud Abbas', [7594, 7596], 'PERSON']",{}
"A statement released by Palestinian President Mahmoud Abbas in Ramallah vowed to track down and punish those responsible , saying this was an attempt to sabotage the peace process .","['Ramallah', [7598, 7598], 'LOC']",{}
"A military statement Wednesday , said General Adam has asked to leave his post "" as soon as possible , "" and the chief of staff has accepted the request to begin the process of his replacement .","['Wednesday', [3114, 3114], 'DATE']",{}
"A military statement Wednesday , said General Adam has asked to leave his post "" as soon as possible , "" and the chief of staff has accepted the request to begin the process of his replacement .","['General Adam', [3117, 3118], 'PERSON']",{}
"France is prosecuting 15 piracy suspects in its own courts , though it has transferred others to Kenya , including 11 who were handed over on Friday .","['France', [13820, 13820], 'LOC']",{}
"France is prosecuting 15 piracy suspects in its own courts , though it has transferred others to Kenya , including 11 who were handed over on Friday .","['Kenya', [13837, 13837], 'LOC']",{}
"France is prosecuting 15 piracy suspects in its own courts , though it has transferred others to Kenya , including 11 who were handed over on Friday .","['Friday', [13846, 13846], 'DATE']",{}
"The FAO 's estimate includes damage to fishing industries in Indonesia , Maldives , Somalia , Sri Lanka and Thailand .","['FAO', [4384, 4384], 'ORG']",{}
"The FAO 's estimate includes damage to fishing industries in Indonesia , Maldives , Somalia , Sri Lanka and Thailand .","['Indonesia', [4393, 4393], 'LOC']",{}
"The FAO 's estimate includes damage to fishing industries in Indonesia , Maldives , Somalia , Sri Lanka and Thailand .","['Maldives', [4395, 4395], 'LOC']",{}
"The FAO 's estimate includes damage to fishing industries in Indonesia , Maldives , Somalia , Sri Lanka and Thailand .","['Somalia', [4397, 4397], 'LOC']",{}
"The FAO 's estimate includes damage to fishing industries in Indonesia , Maldives , Somalia , Sri Lanka and Thailand .","['Sri Lanka', [4399, 4400], 'LOC']",{}
"The FAO 's estimate includes damage to fishing industries in Indonesia , Maldives , Somalia , Sri Lanka and Thailand .","['Thailand', [4402, 4402], 'LOC']",{}
"Members of a violent Central American street gang have been sent to the southwestern U.S. state of Arizona to attack Minuteman Project volunteers , as they begin a month-long campaign to help patrol the southern U.S. border with Mexico .","['American', [15182, 15182], 'GPE']",{}
"Members of a violent Central American street gang have been sent to the southwestern U.S. state of Arizona to attack Minuteman Project volunteers , as they begin a month-long campaign to help patrol the southern U.S. border with Mexico .","['U.S.', [15191, 15191], 'LOC']",{}
"Members of a violent Central American street gang have been sent to the southwestern U.S. state of Arizona to attack Minuteman Project volunteers , as they begin a month-long campaign to help patrol the southern U.S. border with Mexico .","['Arizona', [15194, 15194], 'LOC']",{}
"Members of a violent Central American street gang have been sent to the southwestern U.S. state of Arizona to attack Minuteman Project volunteers , as they begin a month-long campaign to help patrol the southern U.S. border with Mexico .","['Minuteman Project', [15197, 15198], 'ORG']",{}
"Members of a violent Central American street gang have been sent to the southwestern U.S. state of Arizona to attack Minuteman Project volunteers , as they begin a month-long campaign to help patrol the southern U.S. border with Mexico .","['U.S.', [15212, 15212], 'LOC']",{}
"Members of a violent Central American street gang have been sent to the southwestern U.S. state of Arizona to attack Minuteman Project volunteers , as they begin a month-long campaign to help patrol the southern U.S. border with Mexico .","['Mexico', [15215, 15215], 'LOC']",{}
"After higher prices for mining and hydrocarbons exports produced a fiscal surplus in 2008 , the global recession in 2009 slowed growth .","['2008', [12968, 12968], 'DATE']",{}
"After higher prices for mining and hydrocarbons exports produced a fiscal surplus in 2008 , the global recession in 2009 slowed growth .","['2009', [12974, 12974], 'DATE']",{}
"However , a video released Monday , by Iran shows the sailors and marines relaxing and socializing during their captivity .","['Monday', [19975, 19975], 'DATE']",{}
"However , a video released Monday , by Iran shows the sailors and marines relaxing and socializing during their captivity .","['Iran', [19978, 19978], 'LOC']",{}
Critics of Halliburton include auditors and congressional Democrats .,"['Halliburton', [1396, 1396], 'ORG']",{}
Mr. Obama has vowed to sign a health care bill into law this year .,"['Mr. Obama', [7184, 7185], 'PERSON']",{}
Authorities in Mogadishu have not determined a motive for the shooting .,"['Mogadishu', [2208, 2208], 'LOC']",{}
The European Space Agency says it has received the first images and scientific readings from the surface of Saturn 's moon Titan .,"['European Space Agency', [6841, 6843], 'ORG']",{}
The European Space Agency says it has received the first images and scientific readings from the surface of Saturn 's moon Titan .,"['Saturn', [6858, 6858], 'LOC']",{}
The European Space Agency says it has received the first images and scientific readings from the surface of Saturn 's moon Titan .,"['Titan', [6861, 6861], 'LOC']",{}
He says the bombings continue Friday .,"['Friday', [21554, 21554], 'DATE']",{}
"White House officials say he made the pardon decisions on a case-by-case basis , and will continue to review clemency requests .","['White House', [6557, 6558], 'ORG']",{}
"According to the report , American workers earned an average of $ 17.09 an hour in January - a slight increase from the previous month .","['American', [6089, 6089], 'GPE']",{}
"According to the report , American workers earned an average of $ 17.09 an hour in January - a slight increase from the previous month .","['January', [6100, 6100], 'DATE']",{}
"At the time , Russian President Vladimir Putin visited the hospital to confer a medal honoring Rostropovich for his extraordinary achievements in music .","['Russian', [20488, 20488], 'GPE']",{}
"At the time , Russian President Vladimir Putin visited the hospital to confer a medal honoring Rostropovich for his extraordinary achievements in music .","['President Vladimir Putin', [20489, 20491], 'PERSON']",{}
"At the time , Russian President Vladimir Putin visited the hospital to confer a medal honoring Rostropovich for his extraordinary achievements in music .","['Rostropovich', [20500, 20500], 'PERSON']",{}
Mr. Mwanawasa was flown to France Tuesday after suffering a stroke Sunday while in Egypt for an African Union summit .,"['Mr. Mwanawasa', [9640, 9641], 'PERSON']",{}
Mr. Mwanawasa was flown to France Tuesday after suffering a stroke Sunday while in Egypt for an African Union summit .,"['France', [9645, 9645], 'LOC']",{}
Mr. Mwanawasa was flown to France Tuesday after suffering a stroke Sunday while in Egypt for an African Union summit .,"['Tuesday', [9646, 9646], 'DATE']",{}
Mr. Mwanawasa was flown to France Tuesday after suffering a stroke Sunday while in Egypt for an African Union summit .,"['Sunday', [9651, 9651], 'DATE']",{}
Mr. Mwanawasa was flown to France Tuesday after suffering a stroke Sunday while in Egypt for an African Union summit .,"['Egypt', [9654, 9654], 'LOC']",{}
Mr. Mwanawasa was flown to France Tuesday after suffering a stroke Sunday while in Egypt for an African Union summit .,"['African Union', [9657, 9658], 'ORG']",{}
"Separately , the United Nations ' nuclear agency is set to inspect Iran 's heavy water nuclear reactor in a matter of days .","['United Nations', [18639, 18640], 'ORG']",{}
"Separately , the United Nations ' nuclear agency is set to inspect Iran 's heavy water nuclear reactor in a matter of days .","['Iran', [18648, 18648], 'ORG']",{}
"A senior police official , Saud Aziz , says the four wanted in connection with the slaying of Agha Ziauddin in the town of Gilgit in January were picked up in the city of Rawalpindi .","['Saud Aziz', [12592, 12593], 'PERSON']",{}
"A senior police official , Saud Aziz , says the four wanted in connection with the slaying of Agha Ziauddin in the town of Gilgit in January were picked up in the city of Rawalpindi .","['Agha Ziauddin', [12605, 12606], 'PERSON']",{}
"A senior police official , Saud Aziz , says the four wanted in connection with the slaying of Agha Ziauddin in the town of Gilgit in January were picked up in the city of Rawalpindi .","['Gilgit', [12611, 12611], 'LOC']",{}
"A senior police official , Saud Aziz , says the four wanted in connection with the slaying of Agha Ziauddin in the town of Gilgit in January were picked up in the city of Rawalpindi .","['January', [12613, 12613], 'DATE']",{}
"A senior police official , Saud Aziz , says the four wanted in connection with the slaying of Agha Ziauddin in the town of Gilgit in January were picked up in the city of Rawalpindi .","['Rawalpindi', [12621, 12621], 'LOC']",{}
"World Vision Australia 's Iraqi head of operations , Mohammed Hushiar , was killed in late September in the northern city of Mosul .","['Iraqi', [19452, 19452], 'ORG']",{}
"World Vision Australia 's Iraqi head of operations , Mohammed Hushiar , was killed in late September in the northern city of Mosul .","['Mohammed Hushiar', [19457, 19458], 'PERSON']",{}
"World Vision Australia 's Iraqi head of operations , Mohammed Hushiar , was killed in late September in the northern city of Mosul .","['September', [19464, 19464], 'DATE']",{}
"World Vision Australia 's Iraqi head of operations , Mohammed Hushiar , was killed in late September in the northern city of Mosul .","['Mosul', [19470, 19470], 'LOC']",{}
The United Nations created the oil-for-food program after the first Gulf War to allow Iraq to sell oil and use the profits for the Iraqi people 's humanitarian needs .,"['United Nations', [5754, 5755], 'ORG']",{}
The United Nations created the oil-for-food program after the first Gulf War to allow Iraq to sell oil and use the profits for the Iraqi people 's humanitarian needs .,"['Gulf War', [5763, 5764], 'EVENT']",{}
The United Nations created the oil-for-food program after the first Gulf War to allow Iraq to sell oil and use the profits for the Iraqi people 's humanitarian needs .,"['Iraq', [5767, 5767], 'GPE']",{}
The United Nations created the oil-for-food program after the first Gulf War to allow Iraq to sell oil and use the profits for the Iraqi people 's humanitarian needs .,"['Iraqi', [5777, 5777], 'GPE']",{}
"Although the last Russian troops left in 1994 , the status of the Russian minority ( some 30 % of the population ) remains of concern to Moscow .","['Russian', [12796, 12796], 'GPE']",{}
"Although the last Russian troops left in 1994 , the status of the Russian minority ( some 30 % of the population ) remains of concern to Moscow .","['1994', [12800, 12800], 'DATE']",{}
"Although the last Russian troops left in 1994 , the status of the Russian minority ( some 30 % of the population ) remains of concern to Moscow .","['Russian', [12806, 12806], 'GPE']",{}
"Although the last Russian troops left in 1994 , the status of the Russian minority ( some 30 % of the population ) remains of concern to Moscow .","['Moscow', [12820, 12820], 'GPE']",{}
"Officials will not say how many troops have arrived in the Sunni Arab and Kurdish city , where bombings last week killed at least 34 people and wounded more than 200 .","['Sunni Arab', [560, 561], 'LOC']",{}
"Officials will not say how many troops have arrived in the Sunni Arab and Kurdish city , where bombings last week killed at least 34 people and wounded more than 200 .","['Kurdish', [563, 563], 'LOC']",{}
A spokesman for the Brotherhood said the arrests are an attempt to cut the Brotherhood off from its supporters and punishment for winning parliamentary seats in earlier elections .,"['Brotherhood', [692, 692], 'ORG']",{}
A spokesman for the Brotherhood said the arrests are an attempt to cut the Brotherhood off from its supporters and punishment for winning parliamentary seats in earlier elections .,"['Brotherhood', [702, 702], 'ORG']",{}
The fate of seven suspected Somali pirates who were captured by a Spanish warship is uncertain after Spanish prosecutors reversed plans to bring them to Spain to face trial .,"['Somali', [13723, 13723], 'GPE']",{}
The fate of seven suspected Somali pirates who were captured by a Spanish warship is uncertain after Spanish prosecutors reversed plans to bring them to Spain to face trial .,"['Spanish', [13730, 13730], 'GPE']",{}
The fate of seven suspected Somali pirates who were captured by a Spanish warship is uncertain after Spanish prosecutors reversed plans to bring them to Spain to face trial .,"['Spanish', [13735, 13735], 'GPE']",{}
The fate of seven suspected Somali pirates who were captured by a Spanish warship is uncertain after Spanish prosecutors reversed plans to bring them to Spain to face trial .,"['Spain', [13743, 13743], 'LOC']",{}
Prime Minister Tony Blair said London is farther ahead in preparations at this stage than any other previous Olympic host city .,"['Prime Minister Tony Blair', [4930, 4933], 'PERSON']",{}
Prime Minister Tony Blair said London is farther ahead in preparations at this stage than any other previous Olympic host city .,"['London', [4935, 4935], 'GPE']",{}
The Pakistani official was giving a background briefing to a small group of reporters in Washington .,"['Pakistani', [1281, 1281], 'GPE']",{}
The Pakistani official was giving a background briefing to a small group of reporters in Washington .,"['Washington', [1295, 1295], 'LOC']",{}
A comprehensive government report on unemployment is due out Friday .,"['Friday', [11918, 11918], 'DATE']",{}
"He said if Malaysia wants to see the photos , Bangkok will provide them .","['Malaysia', [4639, 4639], 'GPE']",{}
"He said if Malaysia wants to see the photos , Bangkok will provide them .","['Bangkok', [4646, 4646], 'GPE']",{}
"MS-13 runs a major smuggling operation on the U.S.-Mexico border , running drugs , weapons and undocumented aliens from Central and South America into the United States .","['MS-13', [15311, 15311], 'LOC']",{}
"MS-13 runs a major smuggling operation on the U.S.-Mexico border , running drugs , weapons and undocumented aliens from Central and South America into the United States .","['Central and South America', [15330, 15333], 'ORG']",{}
"MS-13 runs a major smuggling operation on the U.S.-Mexico border , running drugs , weapons and undocumented aliens from Central and South America into the United States .","['United States', [15336, 15337], 'LOC']",{}
Sevastopol 's naval base dates back to Soviet times .,"['Sevastopol', [14739, 14739], 'LOC']",{}
"China 's head of Olympic security , Liu Shaowu , made the announcement Wednesday at a news conference .","['China', [19192, 19192], 'LOC']",{}
"China 's head of Olympic security , Liu Shaowu , made the announcement Wednesday at a news conference .","['Olympic', [19196, 19196], 'EVENT']",{}
"China 's head of Olympic security , Liu Shaowu , made the announcement Wednesday at a news conference .","['Liu Shaowu', [19199, 19200], 'PERSON']",{}
"China 's head of Olympic security , Liu Shaowu , made the announcement Wednesday at a news conference .","['Wednesday', [19205, 19205], 'DATE']",{}
The military said Saturday 13 guerrillas were killed in two encounters in the central province of Uruzgan .,"['Saturday', [2425, 2425], 'DATE']",{}
The military said Saturday 13 guerrillas were killed in two encounters in the central province of Uruzgan .,"['Uruzgan', [2438, 2438], 'LOC']",{}
"The Iraqi army said it captured the Sunni insurgent leader in the Iraqi capital , Baghdad .","['Iraqi', [10807, 10807], 'GPE']",{}
"The Iraqi army said it captured the Sunni insurgent leader in the Iraqi capital , Baghdad .","['Sunni', [10813, 10813], 'ORG']",{}
"The Iraqi army said it captured the Sunni insurgent leader in the Iraqi capital , Baghdad .","['Iraqi', [10818, 10818], 'GPE']",{}
"The Iraqi army said it captured the Sunni insurgent leader in the Iraqi capital , Baghdad .","['Baghdad', [10821, 10821], 'LOC']",{}
"A constitution came into effect in 2006 , but the legal status of political parties remains unclear .","['2006', [13104, 13104], 'DATE']",{}
Ukraine 's Prime Minister Yury Yekhanurov says the signing of a controversial natural gas deal with Russia has been postponed again .,"['Ukraine', [16463, 16463], 'LOC']",{}
Ukraine 's Prime Minister Yury Yekhanurov says the signing of a controversial natural gas deal with Russia has been postponed again .,"['Prime Minister Yury Yekhanurov', [16465, 16468], 'PERSON']",{}
Ukraine 's Prime Minister Yury Yekhanurov says the signing of a controversial natural gas deal with Russia has been postponed again .,"['Russia', [16479, 16479], 'ORG']",{}
"China 's communist government allows worship only in state-approved and state-monitored churches , temples and mosques .","['China', [6419, 6419], 'GPE']",{}
In a statement Saturday Chinese Foreign Ministry spokesman Liu Jianchao accused the U.S. body of attempting to interfere with Chinese internal affairs under the guise of religious freedom .,"['Saturday', [6354, 6354], 'DATE']",{}
In a statement Saturday Chinese Foreign Ministry spokesman Liu Jianchao accused the U.S. body of attempting to interfere with Chinese internal affairs under the guise of religious freedom .,"['Chinese', [6355, 6355], 'GPE']",{}
In a statement Saturday Chinese Foreign Ministry spokesman Liu Jianchao accused the U.S. body of attempting to interfere with Chinese internal affairs under the guise of religious freedom .,"['Foreign Ministry', [6356, 6357], 'ORG']",{}
In a statement Saturday Chinese Foreign Ministry spokesman Liu Jianchao accused the U.S. body of attempting to interfere with Chinese internal affairs under the guise of religious freedom .,"['Liu Jianchao', [6359, 6360], 'PERSON']",{}
In a statement Saturday Chinese Foreign Ministry spokesman Liu Jianchao accused the U.S. body of attempting to interfere with Chinese internal affairs under the guise of religious freedom .,"['U.S.', [6363, 6363], 'GPE']",{}
In a statement Saturday Chinese Foreign Ministry spokesman Liu Jianchao accused the U.S. body of attempting to interfere with Chinese internal affairs under the guise of religious freedom .,"['Chinese', [6370, 6370], 'GPE']",{}
Russia has ordered its fleet of Su-24 bombers grounded after one of the planes crashed during a training mission .,"['Russia', [14536, 14536], 'LOC']",{}
Russia has ordered its fleet of Su-24 bombers grounded after one of the planes crashed during a training mission .,"['Su-24', [14542, 14542], 'WORK_OF_ART']",{}
"The opposition has denounced the measure , comparing it to the draconian rule of the former Taleban in neighboring Afghanistan .","['Taleban', [936, 936], 'ORG']",{}
"The opposition has denounced the measure , comparing it to the draconian rule of the former Taleban in neighboring Afghanistan .","['Afghanistan', [939, 939], 'LOC']",{}
"Student and labor unrest during the 1990s pressured King MSWATI III , the world 's last absolute monarch , to grudgingly allow political reform and greater democracy , although he has backslid on these promises in recent years .","['1990s', [13065, 13065], 'DATE']",{}
"Student and labor unrest during the 1990s pressured King MSWATI III , the world 's last absolute monarch , to grudgingly allow political reform and greater democracy , although he has backslid on these promises in recent years .","['King MSWATI III', [13067, 13069], 'PERSON']",{}
But his warmup for the Australian Open has abruptly ended with a rare loss .,"['Australian Open', [6729, 6730], 'EVENT']",{}
"Tim Harcourt , the chief economist of the Australian Trade Commission , says ABAC plays an important role by informing governments where there are problems .","['Tim Harcourt', [1532, 1533], 'PERSON']",{}
"Tim Harcourt , the chief economist of the Australian Trade Commission , says ABAC plays an important role by informing governments where there are problems .","['Australian Trade Commission', [1540, 1542], 'ORG']",{}
