Sentence,Original_Entity,Predicted_Entity
"Rebels in eastern Sudan say government war planes have been bombing a rebel area near the border with Eritrea , wounding several people .","['Eritrea', (21480, 21480), 'LOC']","['Eritrea', 102, 'GPE']"
"Police say unidentified gunmen killed the director of the Communications Ministry in a drive-by shooting as he headed to work Thursday , in Baghdad .","['Baghdad', (187434, 187434), 'LOC']","['Baghdad', 140, 'GPE']"
The United Nations removed some staff from Ivory Coast following attacks on U.N. offices there earlier this month .,"['Ivory Coast', (44835, 44836), 'LOC']","['Ivory Coast', 43, 'GPE']"
The United Nations removed some staff from Ivory Coast following attacks on U.N. offices there earlier this month .,"['U.N.', (44840, 44840), 'LOC']","['U.N.', 76, 'ORG']"
"Earlier this year , Syria was forced to withdraw its troops from Lebanon under intense domestic and international pressure .","['Syria', (21047, 21047), 'ORG']","['Syria', 20, 'GPE']"
"Earlier this year , Syria was forced to withdraw its troops from Lebanon under intense domestic and international pressure .","['Lebanon', (21055, 21055), 'LOC']","['Lebanon', 65, 'GPE']"
"Details of the incident are sketchy , but the ministry said in a statement Tuesday that the tourists may have been kidnapped in Niger near the border with Chad on Monday .","['Chad', (117715, 117715), 'LOC']","['Chad', 155, 'GPE']"
The contract covers at least 70 percent of all goods and services used by U.S. forces .,"['U.S.', (69174, 69174), 'LOC']","['U.S.', 74, 'GPE']"
New data from China 's National Bureau of Statistics show inflation in the country at an 11-year high of 8.7 percent .,"['China', (66317, 66317), 'LOC']","['China', 14, 'GPE']"
"Poverty remains a significant problem in Zambia , despite a stronger economy .","['Zambia', (196716, 196716), 'LOC']","['Zambia', 41, 'GPE']"
The country remains the poorest in the former Soviet sphere .,"['Soviet', (170274, 170274), 'LOC']","['Soviet', 46, 'NORP']"
The Czech Defense Ministry Thursday called Russia 's reaction to the defense shield pact inappropriate rhetoric .,"['Russia', (173846, 173846), 'LOC']","['Russia', 43, 'GPE']"
The United States has confirmed that two U.S. officials met with North Korean diplomats in New York last week .,"['U.S.', (201711, 201711), 'LOC']","['U.S.', 41, 'GPE']"
The United States has confirmed that two U.S. officials met with North Korean diplomats in New York last week .,"['New York', (201719, 201720), 'LOC']","['New York', 91, 'GPE']"
The current space station crew -- Russian Mikhail Tyurin and American astronauts Miguel Lopez-Alegria and Sunita Williams -- return to Earth with Simonyi on April 20 .,"['Russian', (23334, 23334), 'GPE']","['Russian', 34, 'NORP']"
The current space station crew -- Russian Mikhail Tyurin and American astronauts Miguel Lopez-Alegria and Sunita Williams -- return to Earth with Simonyi on April 20 .,"['American', (23338, 23338), 'GPE']","['American', 61, 'NORP']"
"A Sunni Muslim group , Jundollah , claimed responsibility for that attack .","['Sunni Muslim', (69334, 69335), 'PERSON']","['Sunni Muslim', 2, 'NORP']"
"British military authorities say Prince Harry , the third in line to Britain 's throne , will be deployed to Iraq with his military unit .","['British', (165098, 165098), 'GPE']","['British', 0, 'NORP']"
"British military authorities say Prince Harry , the third in line to Britain 's throne , will be deployed to Iraq with his military unit .","['Britain', (165110, 165110), 'LOC']","['Britain', 69, 'GPE']"
"British military authorities say Prince Harry , the third in line to Britain 's throne , will be deployed to Iraq with his military unit .","['Iraq', (165118, 165118), 'LOC']","['Iraq', 109, 'GPE']"
His remarks come just three days after the United States rejected an Iranian suggestion to hold higher-level talks on the security situation in Iraq .,"['Iranian', (110280, 110280), 'GPE']","['Iranian', 69, 'NORP']"
His remarks come just three days after the United States rejected an Iranian suggestion to hold higher-level talks on the security situation in Iraq .,"['Iraq', (110291, 110291), 'LOC']","['Iraq', 144, 'GPE']"
"Meanwhile , the U.N. secretary-general 's special representative for children and armed conflict concluded a five-day visit to Iraq Friday .","['Iraq', (150241, 150241), 'LOC']","['Iraq', 127, 'GPE']"
A new poll indicates only a third of Americans believe their members of Congress are honest .,"['Americans', (171902, 171902), 'GPE']","['Americans', 37, 'NORP']"
The rebel Kurdistan Workers Party ( PKK ) has been fighting for autonomy in Turkey 's mainly Kurdish southeast since 1984 .,"['Turkey', (199257, 199257), 'LOC']","['Turkey', 76, 'GPE']"
U.S. presidential candidates John McCain and Barack Obama have responded cautiously to North Korea 's declaration of its nuclear activities .,"['U.S.', (51626, 51626), 'LOC']","['U.S.', 0, 'GPE']"
"EU officials say that Turkey should recognize Cyprus , an EU member state .","['Turkey', (148015, 148015), 'ORG']","['Turkey', 22, 'GPE']"
"EU officials say that Turkey should recognize Cyprus , an EU member state .","['Cyprus', (148018, 148018), 'LOC']","['Cyprus', 46, 'GPE']"
Thousands of police have been put on alert for the Hong Kong summit .,"['Hong Kong', (88036, 88037), 'LOC']","['Hong Kong', 51, 'GPE']"
A reporters ' advocacy group has condemned the shutdown of a Somali radio station and the detention of two of its reporters .,"['Somali', (24810, 24810), 'GPE']","['Somali', 61, 'NORP']"
"Several Palestinians have been killed after explosives being stored , or made , in their homes accidentally detonated .","['Palestinians', (88978, 88978), 'GPE']","['Palestinians', 8, 'NORP']"
"Israel has re-opened a key border crossing in the northern Gaza Strip , and says it will allow 1,000 Palestinian workers and hundreds of Gaza merchants to enter","['Israel', (167336, 167336), 'LOC']","['Israel', 0, 'GPE']"
"Israel has re-opened a key border crossing in the northern Gaza Strip , and says it will allow 1,000 Palestinian workers and hundreds of Gaza merchants to enter","['Gaza Strip', (167346, 167347), 'LOC']","['Gaza Strip', 59, 'GPE']"
"Israel has re-opened a key border crossing in the northern Gaza Strip , and says it will allow 1,000 Palestinian workers and hundreds of Gaza merchants to enter","['Palestinian', (167355, 167355), 'GPE']","['Palestinian', 101, 'NORP']"
"Israel has re-opened a key border crossing in the northern Gaza Strip , and says it will allow 1,000 Palestinian workers and hundreds of Gaza merchants to enter","['Gaza', (167360, 167360), 'LOC']","['Gaza', 137, 'GPE']"
He said sanctions against the country are an important part of leverage to pressure North Korea to act .,"['North Korea', (51744, 51745), 'LOC']","['North Korea', 84, 'GPE']"
The al-Qaida in Iraq terrorist group has claimed responsibility for several of the large attacks .,"['Iraq', (89408, 89408), 'LOC']","['Iraq', 16, 'GPE']"
ISAF already maintains security in Kabul and the country 's north and west .,"['Kabul', (158405, 158405), 'LOC']","['Kabul', 35, 'GPE']"
"At last report , the storm was nearly 1,300 kilometers east of Bermuda .","['Bermuda', (92625, 92625), 'LOC']","['Bermuda', 63, 'GPE']"
"But last month , polio was confirmed in a girl from the eastern district of Chandpur .","['Chandpur', (130776, 130776), 'LOC']","['Chandpur', 76, 'GPE']"
His comment comes after a Swiss newspaper said local security officials had intercepted an Egyptian government document mentioning CIA prisons in several eastern European countries including Bulgaria and Ukraine .,"['Swiss', (73800, 73800), 'GPE']","['Swiss', 26, 'NORP']"
His comment comes after a Swiss newspaper said local security officials had intercepted an Egyptian government document mentioning CIA prisons in several eastern European countries including Bulgaria and Ukraine .,"['Egyptian', (73809, 73809), 'GPE']","['Egyptian', 91, 'NORP']"
His comment comes after a Swiss newspaper said local security officials had intercepted an Egyptian government document mentioning CIA prisons in several eastern European countries including Bulgaria and Ukraine .,"['Bulgaria', (73821, 73821), 'LOC']","['Bulgaria', 191, 'GPE']"
His comment comes after a Swiss newspaper said local security officials had intercepted an Egyptian government document mentioning CIA prisons in several eastern European countries including Bulgaria and Ukraine .,"['Ukraine', (73823, 73823), 'LOC']","['Ukraine', 204, 'GPE']"
Iraq and Iran fought a bloody war in the 1980s when then-Iraqi leader Saddam Hussein was in power .,"['Iraq', (103276, 103276), 'LOC']","['Iraq', 0, 'GPE']"
Iraq and Iran fought a bloody war in the 1980s when then-Iraqi leader Saddam Hussein was in power .,"['Iran', (103278, 103278), 'LOC']","['Iran', 9, 'GPE']"
"Following the apology , Bosnian Serb President Dragan Cavic urged indicted war crimes suspects to surrender to authorities , saying it is crucial for the future of the Bosnia Serb Republic .","['Bosnian Serb', (74915, 74916), 'GPE']","['Bosnian Serb', 24, 'NORP']"
"Hundreds of Afghan students have held a protest over an American magazine report that copies of the Koran were desecrated at the U.S. jail in Guantanamo Bay , Cuba .","['Afghan', (89621, 89621), 'GPE']","['Afghan', 12, 'NORP']"
"Hundreds of Afghan students have held a protest over an American magazine report that copies of the Koran were desecrated at the U.S. jail in Guantanamo Bay , Cuba .","['American', (89629, 89629), 'GPE']","['American', 56, 'NORP']"
"Hundreds of Afghan students have held a protest over an American magazine report that copies of the Koran were desecrated at the U.S. jail in Guantanamo Bay , Cuba .","['Koran', (89636, 89636), 'ORG']","['Koran', 100, 'WORK_OF_ART']"
"Hundreds of Afghan students have held a protest over an American magazine report that copies of the Koran were desecrated at the U.S. jail in Guantanamo Bay , Cuba .","['U.S.', (89641, 89641), 'LOC']","['U.S.', 129, 'GPE']"
"Hundreds of Afghan students have held a protest over an American magazine report that copies of the Koran were desecrated at the U.S. jail in Guantanamo Bay , Cuba .","['Guantanamo Bay', (89644, 89645), 'LOC']","['Guantanamo Bay', 142, 'GPE']"
"Hundreds of Afghan students have held a protest over an American magazine report that copies of the Koran were desecrated at the U.S. jail in Guantanamo Bay , Cuba .","['Cuba', (89647, 89647), 'LOC']","['Cuba', 159, 'GPE']"
"The head of the Palestinian mission in Peru has told protesters in Lima that the kidnapping of a Peruvian photographer in the Gaza Strip is damaging the "" just fight "" of the Palestinian people .","['Palestinian', (199833, 199833), 'GPE']","['Palestinian', 16, 'NORP']"
"The head of the Palestinian mission in Peru has told protesters in Lima that the kidnapping of a Peruvian photographer in the Gaza Strip is damaging the "" just fight "" of the Palestinian people .","['Peru', (199836, 199836), 'LOC']","['Peru', 39, 'GPE']"
"The head of the Palestinian mission in Peru has told protesters in Lima that the kidnapping of a Peruvian photographer in the Gaza Strip is damaging the "" just fight "" of the Palestinian people .","['Lima', (199841, 199841), 'LOC']","['Lima', 67, 'GPE']"
"The head of the Palestinian mission in Peru has told protesters in Lima that the kidnapping of a Peruvian photographer in the Gaza Strip is damaging the "" just fight "" of the Palestinian people .","['Peruvian', (199847, 199847), 'GPE']","['Peruvian', 97, 'NORP']"
"The head of the Palestinian mission in Peru has told protesters in Lima that the kidnapping of a Peruvian photographer in the Gaza Strip is damaging the "" just fight "" of the Palestinian people .","['Palestinian', (199862, 199862), 'GPE']","['Palestinian', 16, 'NORP']"
"Several hundred anti-war protesters have begun their second week of demonstrations outside President Bush 's Crawford , Texas ranch .","['Crawford', (27159, 27159), 'LOC']","['Crawford', 109, 'GPE']"
"Several hundred anti-war protesters have begun their second week of demonstrations outside President Bush 's Crawford , Texas ranch .","['Texas', (27161, 27161), 'LOC']","['Texas', 120, 'GPE']"
Indian authorities say separatist rebels have killed 16 Indian soldiers in an ambush in the country 's northeastern Tripura state .,"['Indian', (138010, 138010), 'GPE']","['Indian', 0, 'NORP']"
Indian authorities say separatist rebels have killed 16 Indian soldiers in an ambush in the country 's northeastern Tripura state .,"['Indian', (138018, 138018), 'GPE']","['Indian', 0, 'NORP']"
Indian authorities say separatist rebels have killed 16 Indian soldiers in an ambush in the country 's northeastern Tripura state .,"['Tripura', (138028, 138028), 'LOC']","['Tripura', 116, 'GPE']"
The plane was a Canadian-made CRJ-200 .,"['CRJ-200', (68634, 68634), 'WORK_OF_ART']","['CRJ-200', 30, 'PRODUCT']"
Activists in Belarus have repeatedly staged protests since the country 's March presidential election which western governments and opposition groups have described as fraudulent .,"['Belarus', (126933, 126933), 'LOC']","['Belarus', 13, 'GPE']"
Authorities in Mogadishu have not determined a motive for the shooting .,"['Mogadishu', (2208, 2208), 'LOC']","['Mogadishu', 15, 'GPE']"
"The donation to the Naankuse Lodge and Wildlife Sanctuary was made through the couple 's Jolie-Pitt foundation in the name of their daughter , Shiloh , who was born in Namibia .","['Namibia', (146578, 146578), 'LOC']","['Namibia', 168, 'GPE']"
"Bus , subway , and tram services ceased in Greece 's capital Athens Thursday , while Greek journalists stopped radio and television broadcasts .","['Greece', (33749, 33749), 'LOC']","['Greece', 43, 'GPE']"
"Bus , subway , and tram services ceased in Greece 's capital Athens Thursday , while Greek journalists stopped radio and television broadcasts .","['Athens', (33752, 33752), 'LOC']","['Athens', 61, 'GPE']"
